@relation 'census_income_data_2000_mockup-weka.filters.supervised.attribute.Discretize-R1,3,4,17,19,6,18,25-weka.filters.unsupervised.attribute.Remove-R16,25-weka.filters.unsupervised.attribute.Remove-R39-weka.filters.supervised.attribute.Discretize-R38-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute major_occupation_code_AMJOCC {' Precision production craft & repair',' Sales',' Executive admin and managerial',' Not in universe',' Farming forestry and fishing',' Technicians and related support',' Machine operators assmblrs & inspctrs',' Professional specialty',' Handlers equip cleaners etc ',' Protective services',' Transportation and material moving',' Other service',' Adm support including clerical',' Armed Forces',' Private household services'}
@attribute occupation_code_ADTOCC {(-inf-0.5],(0.5-18.5],(18.5-32.5],(32.5-inf)}
@attribute education_AHGA {' Associates degree-occup /vocational',' Bachelors degree(BA AB BS)',' High school graduate',' Some college but no degree',' Masters degree(MA MS MEng MEd MSW MBA)',' Prof school degree (MD DDS DVM LLB JD)',' 1st 2nd 3rd or 4th grade',' Associates degree-academic program',' Doctorate degree(PhD EdD)',' 5th or 6th grade',' 9th grade',' 12th grade no diploma',' 11th grade',' 10th grade',' 7th and 8th grade',' Children',' Less than 1st grade'}
@attribute veterans_benefits_VETYN {(-inf-38.5],(38.5-47.5],(47.5-inf)}
@attribute major_industry_code_AMJIND {' Communications',' Retail trade',' Other professional services',' Finance insurance and real estate',' Not in universe or children',' Education',' Manufacturing-durable goods',' Construction',' Public administration',' Agriculture',' Transportation',' Manufacturing-nondurable goods',' Business and repair services',' Personal services except private HH',' Entertainment',' Utilities and sanitary services',' Medical except hospital',' Wholesale trade',' Hospital services',' Social services',' Mining',' Forestry and fisheries',' Armed Forces',' Private household services'}
@attribute age_AAGE {(-inf-22.5],(22.5-27.5],(27.5-31.5],(31.5-66.5],(66.5-inf)}
@attribute detailed_household_and_family_stat_HHDFMX {' Nonfamily householder',' Householder',' Spouse of householder',' Secondary individual',' Child 18+ never marr Not in a subfamily',' Other Rel 18+ spouse of subfamily RP',' Other Rel 18+ ever marr not in subfamily',' RP of unrelated subfamily',' Child 18+ never marr RP of subfamily',' Other Rel 18+ ever marr RP of subfamily',' Child <18 never marr not in subfamily',' Child 18+ ever marr Not in a subfamily',' Grandchild <18 never marr child of subfamily RP',' Child 18+ spouse of subfamily RP',' Child under 18 of RP of unrel subfamily',' Other Rel <18 never marr child of subfamily RP',' Grandchild <18 never marr not in subfamily',' Other Rel 18+ never marr not in subfamily',' Grandchild 18+ never marr not in subfamily',' Child 18+ ever marr RP of subfamily',' Other Rel <18 spouse of subfamily RP'}
@attribute detailed_household_summary_in_household_HHDREL {' Householder',' Spouse of householder',' Nonrelative of householder',' Child 18 or older',' Other relative of householder',' Child under 18 never married'}
@attribute class_of_worker_ACLSWKR {' Private',' Self-employed-incorporated',' Not in universe',' Local government',' State government',' Self-employed-not incorporated',' Federal government',' Never worked',' Without pay'}
@attribute industry_code_ADTIND {(-inf-1.5],(1.5-inf)}
@attribute num_persons_worked_for_employer_NOEMP {0,1,2,3,4,5,6}
@attribute tax_filer_status_FILESTAT {' Single',' Joint both under 65',' Joint both 65+',' Head of household',' Joint one under 65 & one 65+',' Nonfiler'}
@attribute marital_status_AMARITL {' Separated',' Married-civilian spouse present',' Widowed',' Never married',' Divorced',' Married-spouse absent',' Married-A F spouse present'}
@attribute sex_ASEX {' Male',' Female'}
@attribute divdends_from_stocks_DIVVAL {(-inf-52],(52-inf)}
@attribute family_members_under_18_PARENT {' Not in universe',' Both parents present',' Mother only present',' Neither parent present',' Father only present'}
@attribute fill_inc_questionnaire_for_veteran_admin_VETQVA {0,1,2}
@attribute capital_gains_CAPGAIN {(-inf-7364],(7364-inf)}
@attribute hispanic_Origin_AREORGN {' All other',' Mexican-American',' Other Spanish',' Mexican (Mexicano)',' Puerto Rican',' NA',' Central or South American',' Cuban',' Chicano',' Do not know'}
@attribute member_of_a_labor_union_AUNMEM {' Not in universe',' No',' Yes'}
@attribute country_of_birth_father_PEFNTVTY {' United-States',' Germany',' England',' Italy',' Poland',' China',' Canada',' Mexico',' Iran',' Philippines',' Thailand',' Dominican-Republic',' Puerto-Rico',' Ireland',' Portugal',' Nicaragua',' Vietnam',' Cuba',' Hungary',' India',' Cambodia',' Taiwan',' Peru',' Outlying-U S (Guam USVI etc)',' Jamaica',' South Korea',' Guatemala',' Scotland',' Columbia',' Japan',' El-Salvador',' Ecuador',' Trinadad&Tobago',' Honduras',' Yugoslavia',' Hong Kong',' Haiti',' France'}
@attribute capital_losses_CAPLOSS {(-inf-1881.5],(1881.5-inf)}
@attribute country_of_birth_mother_PEMNTVTY {' United-States',' Hungary',' England',' Italy',' Germany',' Poland',' France',' China',' Canada',' Mexico',' Scotland',' Iran',' Philippines',' Thailand',' Ireland',' Dominican-Republic',' Puerto-Rico',' Portugal',' Nicaragua',' Vietnam',' Cuba',' India',' Cambodia',' Japan',' Taiwan',' Peru',' El-Salvador',' Hong Kong',' Jamaica',' South Korea',' Guatemala',' Columbia',' Yugoslavia',' Ecuador',' Trinadad&Tobago',' Honduras',' Haiti'}
@attribute migration_code_change_in_reg_MIGMTR3 {' Same county',' Nonmover',' Different region',' Different division same region',' Different county same state',' Different state same division',' Abroad',' Not in universe'}
@attribute live_in_this_house_1_year_ago_MIGSAME {' No',' Yes',' Not in universe under 1 year old'}
@attribute migration_code_change_in_msa_MIGMTR1 {' MSA to MSA',' Nonmover',' NonMSA to nonMSA',' Abroad to MSA',' NonMSA to MSA',' MSA to nonMSA',' Not in universe',' Not identifiable',' Abroad to nonMSA'}
@attribute migration_code_move_within_reg_MIGMTR4 {' Same county',' Nonmover',' Different state in South',' Different county same state',' Different state in Midwest',' Different state in West',' Abroad',' Different state in Northeast',' Not in universe'}
@attribute migration_prev_res_in_sunbelt_MIGSUN {' No',' Not in universe',' Yes'}
@attribute region_of_previous_residence_GRINREG {' Midwest',' Not in universe',' Northeast',' South',' West',' Abroad'}
@attribute enrolled_in_edu_inst_last_wk_AHSCOL {' Not in universe',' High school',' College or university'}
@attribute mace_ARACE {' White',' Asian or Pacific Islander',' Black',' Amer Indian Aleut or Eskimo',' Other'}
@attribute own_business_or_self_employed_SEOTR {0,1,2}
@attribute state_of_previous_residence_GRINST {' Indiana',' Not in universe',' Connecticut',' Utah',' Minnesota',' Florida',' South Dakota',' New Mexico',' Oregon',' District of Columbia',' Oklahoma',' North Carolina',' Virginia',' Alaska',' Abroad',' Mississippi',' Kansas',' North Dakota',' West Virginia',' Michigan',' California',' Maine',' Arizona',' Colorado',' New Hampshire',' Arkansas',' New Jersey',' Montana',' Texas',' Massachusetts',' Iowa',' Wyoming',' Maryland',' New York',' Alabama',' Pennsylvania',' Idaho',' Louisiana',' Tennessee',' Nevada',' Kentucky',' Vermont',' Ohio',' South Carolina',' Georgia',' Missouri',' Delaware',' Illinois'}
@attribute country_of_birth_self_PENATVTY {' United-States',' England',' Italy',' Poland',' Japan',' Germany',' Canada',' Mexico',' Taiwan',' Iran',' Philippines',' Thailand',' Dominican-Republic',' Puerto-Rico',' Portugal',' Ireland',' Nicaragua',' Vietnam',' Cuba',' India',' Peru',' China',' Hong Kong',' Jamaica',' South Korea',' Guatemala',' Scotland',' Columbia',' El-Salvador',' Trinadad&Tobago',' Honduras',' Cambodia',' Haiti',' France',' Hungary'}
@attribute wage_per_hour_AHRSPAY {(-inf-212.5],(212.5-917.5],(917.5-1628.5],(1628.5-inf)}
@attribute citizenship_PRCITSHP {' Native- Born in the United States',' Native- Born abroad of American Parent(s)',' Foreign born- U S citizen by naturalization',' Foreign born- Not a citizen of U S ',' Native- Born in Puerto Rico or U S Outlying'}
@attribute reason_for_unemployment_AUNTYPE {' Not in universe',' Other job loser',' Job loser - on layoff',' Re-entrant',' Job leaver',' New entrant'}
@attribute taxable_income_amount_TAXINC {' Not in universe',' No',' Yes'}
@attribute Class {above,below}

@data
' Precision production craft & repair',(32.5-inf),' Associates degree-occup /vocational',(47.5-inf),' Communications',(31.5-66.5],' Nonfamily householder',' Householder',' Private',(1.5-inf),6,' Single',' Separated',' Male',(52-inf),' Not in universe',2,(-inf-7364],' All other',' Not in universe',' United-States',(1881.5-inf),' United-States',' Same county',' No',' MSA to MSA',' Same county',' No',' Midwest',' Not in universe',' White',0,' Indiana',' United-States',(-inf-212.5],' Native- Born in the United States',' Not in universe',' Not in universe',above
' Sales',(0.5-18.5],' Bachelors degree(BA AB BS)',(47.5-inf),' Retail trade',(31.5-66.5],' Householder',' Householder',' Private',(1.5-inf),4,' Joint both under 65',' Married-civilian spouse present',' Male',(-inf-52],' Not in universe',2,(7364-inf),' All other',' Not in universe',' United-States',(-inf-1881.5],' United-States',' Nonmover',' Yes',' Nonmover',' Nonmover',' Not in universe',' Not in universe',' Not in universe',' White',0,' Not in universe',' United-States',(-inf-212.5],' Native- Born in the United States',' Not in universe',' Not in universe',above
' Executive admin and managerial',(0.5-18.5],' Bachelors degree(BA AB BS)',(47.5-inf),' Other professional services',(31.5-66.5],' Householder',' Householder',' Self-employed-incorporated',(1.5-inf),2,' Joint both 65+',' Married-civilian spouse present',' Male',(-inf-52],' Not in universe',1,(7364-inf),' All other',' Not in universe',' Germany',(-inf-1881.5],' Hungary',' Nonmover',' Yes',' Nonmover',' Nonmover',' Not in universe',' Not in universe',' Not in universe',' White',0,' Not in universe',' United-States',(-inf-212.5],' Native- Born in the United States',' Not in universe',' No',above
' Executive admin and managerial',(0.5-18.5],' High school graduate',(47.5-inf),' Finance insurance and real estate',(31.5-66.5],' Householder',' Householder',' Private',(1.5-inf),4,' Joint both under 65',' Married-civilian spouse present',' Male',(-inf-52],' Not in universe',2,(-inf-7364],' All other',' Not in universe',' England',(-inf-1881.5],' United-States',' Same county',' No',' MSA to MSA',' Same county',' No',' Northeast',' Not in universe',' White',0,' Connecticut',' England',(-inf-212.5],' Native- Born abroad of American Parent(s)',' Not in universe',' Not in universe',above
' Executive admin and managerial',(0.5-18.5],' Bachelors degree(BA AB BS)',(38.5-47.5],' Other professional services',(31.5-66.5],' Spouse of householder',' Spouse of householder',' Private',(1.5-inf),6,' Joint both under 65',' Married-civilian spouse present',' Female',(52-inf),' Not in universe',2,(-inf-7364],' All other',' Not in universe',' United-States',(-inf-1881.5],' United-States',' Nonmover',' Yes',' Nonmover',' Nonmover',' Not in universe',' Not in universe',' Not in universe',' White',0,' Not in universe',' United-States',(-inf-212.5],' Native- Born in the United States',' Not in universe',' Not in universe',above
' Executive admin and managerial',(0.5-18.5],' Some college but no degree',(47.5-inf),' Other professional services',(31.5-66.5],' Spouse of householder',' Spouse of householder',' Private',(1.5-inf),1,' Joint both under 65',' Married-civilian spouse present',' Female',(52-inf),' Not in universe',2,(-inf-7364],' All other',' Not in universe',' United-States',(-inf-1881.5],' United-States',' Nonmover',' Yes',' Nonmover',' Nonmover',' Not in universe',' Not in universe',' Not in universe',' White',0,' Not in universe',' United-States',(-inf-212.5],' Native- Born in the United States',' Not in universe',' Not in universe',above
' Not in universe',(-inf-0.5],' Masters degree(MA MS MEng MEd MSW MBA)',(-inf-38.5],' Not in universe or children',(66.5-inf),' Nonfamily householder',' Householder',' Not in universe',(-inf-1.5],0,' Single',' Widowed',' Female',(-inf-52],' Not in universe',1,(-inf-7364],' All other',' Not in universe',' United-States',(-inf-1881.5],' United-States',' Nonmover',' Yes',' Nonmover',' Nonmover',' Not in universe',' Not in universe',' Not in universe',' White',0,' Not in universe',' United-States',(-inf-212.5],' Native- Born in the United States',' Not in universe',' No',above
' Executive admin and managerial',(0.5-18.5],' Prof school degree (MD DDS DVM LLB JD)',(47.5-inf),' Education',(31.5-66.5],' Nonfamily householder',' Householder',' Local government',(1.5-inf),2,' Single',' Never married',' Male',(52-inf),' Not in universe',2,(-inf-7364],' All other',' Not in universe',' United-States',(-inf-1881.5],' United-States',' Nonmover',' Yes',' Nonmover',' Nonmover',' Not in universe',' Not in universe',' Not in universe',' White',0,' Not in universe',' United-States',(-inf-212.5],' Native- Born in the United States',' Not in universe',' Not in universe',above
' Sales',(0.5-18.5],' Masters degree(MA MS MEng MEd MSW MBA)',(47.5-inf),' Manufacturing-durable goods',(31.5-66.5],' Spouse of householder',' Spouse of householder',' Private',(1.5-inf),3,' Joint both under 65',' Married-civilian spouse present',' Male',(-inf-52],' Not in universe',2,(-inf-7364],' All other',' Not in universe',' England',(-inf-1881.5],' England',' Nonmover',' Yes',' Nonmover',' Nonmover',' Not in universe',' Not in universe',' Not in universe',' White',0,' Not in universe',' England',(-inf-212.5],' Foreign born- U S citizen by naturalization',' Not in universe',' Not in universe',above
' Executive admin and managerial',(0.5-18.5],' Some college but no degree',(47.5-inf),' Construction',(31.5-66.5],' Householder',' Householder',' Private',(1.5-inf),5,' Joint both under 65',' Married-civilian spouse present',' Male',(-inf-52],' Not in universe',2,(-inf-7364],' All other',' Not in universe',' United-States',(-inf-1881.5],' United-States',' Nonmover',' Yes',' Nonmover',' Nonmover',' Not in universe',' Not in universe',' Not in universe',' White',0,' Not in universe',' United-States',(-inf-212.5],' Native- Born in the United States',' Not in universe',' Not in universe',above
' Sales',(0.5-18.5],' Bachelors degree(BA AB BS)',(47.5-inf),' Finance insurance and real estate',(31.5-66.5],' Householder',' Householder',' Self-employed-incorporated',(1.5-inf),6,' Joint both under 65',' Married-civilian spouse present',' Male',(52-inf),' Not in universe',2,(-inf-7364],' All other',' Not in universe',' United-States',(-inf-1881.5],' United-States',' Nonmover',' Yes',' Nonmover',' Nonmover',' Not in universe',' Not in universe',' Not in universe',' White',0,' Not in universe',' United-States',(-inf-212.5],' Native- Born in the United States',' Not in universe',' Not in universe',above
' Executive admin and managerial',(0.5-18.5],' Masters degree(MA MS MEng MEd MSW MBA)',(47.5-inf),' Public administration',(31.5-66.5],' Householder',' Householder',' State government',(1.5-inf),2,' Joint both under 65',' Married-civilian spouse present',' Male',(-inf-52],' Not in universe',2,(-inf-7364],' All other',' No',' United-States',(-inf-1881.5],' United-States',' Nonmover',' Yes',' Nonmover',' Nonmover',' Not in universe',' Not in universe',' Not in universe',' White',2,' Not in universe',' United-States',(-inf-212.5],' Native- Born in the United States',' Not in universe',' Not in universe',above
' Not in universe',(-inf-0.5],' Some college but no degree',(-inf-38.5],' Not in universe or children',(31.5-66.5],' Householder',' Householder',' Not in universe',(-inf-1.5],0,' Head of household',' Divorced',' Female',(52-inf),' Not in universe',2,(-inf-7364],' All other',' Not in universe',' United-States',(-inf-1881.5],' United-States',' Nonmover',' Yes',' Nonmover',' Nonmover',' Not in universe',' Not in universe',' Not in universe',' White',0,' Not in universe',' United-States',(-inf-212.5],' Native- Born in the United States',' Not in universe',' Not in universe',above
' Executive admin and managerial',(0.5-18.5],' 1st 2nd 3rd or 4th grade',(47.5-inf),' Manufacturing-durable goods',(31.5-66.5],' Householder',' Householder',' Self-employed-not incorporated',(1.5-inf),1,' Joint both under 65',' Married-civilian spouse present',' Male',(-inf-52],' Not in universe',2,(7364-inf),' All other',' Not in universe',' Italy',(-inf-1881.5],' Italy',' Nonmover',' Yes',' Nonmover',' Nonmover',' Not in universe',' Not in universe',' Not in universe',' White',0,' Not in universe',' Italy',(-inf-212.5],' Foreign born- U S citizen by naturalization',' Not in universe',' Not in universe',above
' Farming forestry and fishing',(32.5-inf),' Bachelors degree(BA AB BS)',(-inf-38.5],' Agriculture',(31.5-66.5],' Spouse of householder',' Spouse of householder',' Self-employed-not incorporated',(1.5-inf),1,' Joint both under 65',' Married-civilian spouse present',' Female',(-inf-52],' Not in universe',2,(-inf-7364],' All other',' Not in universe',' United-States',(-inf-1881.5],' United-States',' Nonmover',' Yes',' Nonmover',' Nonmover',' Not in universe',' Not in universe',' Not in universe',' White',0,' Not in universe',' United-States',(-inf-212.5],' Native- Born in the United States',' Not in universe',' Not in universe',above
